FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
743,,,fisk-aborre/haleparti,,,,,,,,,,,,,,,Bonde,,m,,×,
744,,,fisk-elopoid/hel skæl,,,,,,,,,,,,,,,Bonde,,m,,×,
745,,,fisk-sild/hel kram.+ del af krop,,,,,,,,,,,,,,,Bonde,,m,,×,
746,,,bot.blade + tæger/hele + fragm,,,,,,,,,,,,,,,Bonde,,m+m-stue,,×,
747,,,fisk-skæl/hel,,,,,,,,,,,,,,,Bonde,,m,,×,
748,,,fisk-sild/kranium,,,,,,,,,,,,,,,Bonde,,m,,×,
749,,,ins.-græshoppe/hel vinge uden yderste spids,,,,,,,,,,,,,,,,,m,,×,
750,,,ins.-ubestemt/vinge,,,,,,,,,,,,,,,,,m,,×,
751,,,ins.-ubestemt/fin vinge,,,,,,,,,,,,,,,,,m,,×,
752,,,ins.-tæger/hele+fragm.,,,,,,,,,,,,,,,,,m,,×,
753,,,ins.- Stankelben/vinge,,,,,,,,,,,,,,,G.L,,m,,×,
754,,,ins.-stankelben/fragm af krop/vinge/ben,,,,,,,,,,,,,,,G.L,,m,,×,
755,,,ins-tæge+ins-græshoppe/vinge,,,,,,,,,,,,,,,,,m,,×,
756,,,ins.-græshoppe/hel,,,,,,,,,,,,,,,Astrups saml.,,m,,×,
757,,,ins-stankelben/krop+2 vinger,,,,,,,,,,,,,,,G.L,,m,,×,
758,,,ins-forskellige/mange vinger,,,,,,,,,,,,,,,G.L,,m,,×,
759,,,ins.-forskellige/rester,,,,,,,,,,,,,,,G.L,,m,,×,
760,,,ins.-stankelben+tæge/rester,,,,,,,,,,,,,,,G.L,,m,,×,
761,,,ins.-cikade+ins-myg/vinger,,,,,,,,,,,,,,,G.L,,m,,×,
762,,,ins.- stankelben/vinger+del af krop,,,,,,,,,,,,,,,G.L,,m,,×,
763,,,ins-stankelben/vinger,,,,,,,,,,,,,,,G.L,,m,,×,
764,,,ins.-stankelben/krop+vinger+hel fisk,,,,,,,,,,,,,,,G.L,,m,,×,
765,,,ins-stankelben/krop m.m.,,,,,,,,,,,,,,,G.L,,m,,×,
766,,,ins.-myg/krop/vinger/dele af ben,,,,,,,,,,,,,,,G.L,,m,,×,
767,,,ins.-stankelben/vinger,,,,,,,,,,,,,,,G.L,,m,,×,
768,,,ins.-stankelben/krop+vinger,,,,,,,,,,,,,,,G.L,,m,,×,
769,,,ins.-stankelben/krop+vinger,,,,,,,,,,,,,,,G.L,,m,,×,
770,,,ins.-stankelben/vinger m.m.,,,,,,,,,,,,,,,G.L,,m,,×,
771,,,ins.-stankelben/del af krop+2vinger,,,,,,,,,,,,,,1,G.L,,m,,×,
772,,,ins.-stankelben/krop+vinger,,,,,,,,,,,,,,,G.L,,m,,×,
773,,,ins.-stankelben/vinge,,,,,,,,,,,,,,,G.L,,m,,×,
774,,,ins.-stankelben/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
775,,,ins.-stankelben/krop uden vinger,,,,,,,,,,,,,,,G.L,,m,,×,
776,,,ins.-stankelben/krop+ 2 vinger,,,,,,,,,,,,,,,G.L,,m,,×,
777,,,ins.-stankelben/vinge,,,,,,,,,,,,,,,G.L,,m,,×,
778,,,ins.-stankelben/vinger+del af krop,,,,,,,,,,,,,,,G.L,,m,,×,
779,,,ins.-stankelben/krop+hoved,,,,,,,,,,,,,,,G.L,,m,,×,
780,,,ins.-stankelben/hel,,,,,,,,,,,,,,,G.L,,m,,×,
781,,,ins.-stankelben/vinge/krop/hoved,,,,,,,,,,,,,,,G.L,,m,,×,
782,,,ins.-stankelben/vinger,,,,,,,,,,,,,,,G.L,,m,,×,
783,,,ins.-stankelben/vinge,,,,,,,,,,,,,,,G.L,,m,,×,
784,,,ins-stankelben/hoved+krop,,,,,,,,,,,,,,,G.L ,,m,,×,
785,,,ins.-stankelben/krop/hoved+vinger,,,,,,,,,,,,,,,G.L,,m,,×,
786,,,ins-stankelben/vinge+rester,,,,,,,,,,,,,,,G.L ##,,m,,×,
787,,,ins-stankelben/krop u. vinger,,,,,,,,,,,,,,,G.L,,m,,×,
788,,,Ins-stankelben/vinger+rester,,,,,,,,,,,,,,,G.L,,m,,×,
789,,,ins-stankelben/vinger+rester,,,,,,,,,,,,,,,G.L,,m,,×,
790,,,ins-stankelben/vinger,,,,,,,,,,,,,,,G.L.,,mgl. v. rev 04.,,÷,
791,,,Ins-stankelben/vinger,,,,,,,,,,,,,,,G.L,,m,,×,
792,,,ins-stankelben/del af krop+vinger,,,,,,,,,,,,,,,G.L,,m,,×,
793,,,ins-stabkelben/vinger,,,,,,,,,,,,,,,G.L,,m,,×,
794,,,ins-masseaftryk/vinger+rester,,,,,,,,,,,,,,,G.L,,m,,×,
795,,,ins-stankelben/vinger,,,,,,,,,,,,,,,G.L,,m,,×,
796,,,ins-tæge/hel,,,,,,,,,,,,,,,G.L De opgivne mål passer ikke,,45B,,×,
797,,,ins-tæge/hel,,,,,,,,,,,,,,,G.L,,m,,×,
798,,,ins-skorpiontæge/næsten hel,,,,,,,,,,,,,,,G.L.,,m,,×,
799,,,ins-tæge/hel,,,,,,,,,,,,,,,G.L.,,m,,×,
800,,,ins-tæge/hoved+krop,,,,,,,,,,,,,,,G.L.,,m,,×,
801,,,Ins-skorpionflue/hel,,,,,,,,,,,,,,,G.L,,m,,×,
802,,,fisk-aborre/hel,,,,,,,,,,,,,,,Bonde,,mgl.v.sidste rev.,,÷,
803,,,ins-løvgræshoppe/Vinge+lår+ben,,,,,,,,,,,,,,,G.L,,m,,×,
804,,,ins-bille/krop+vinger+ben,,,,,,,,,,,,,,,,,42B,,×,
805,,,fisk-neocl./kranium+del af krop,,,,,,,,,,,,,,,,,m,,×,
806,,,ins-myg el. stankelben/næsten hel,,,,,,,,,,,,,,,,,mgl. v. rev 04.,,÷,
807,,,fisk-ubest/fragm. Af kranium.,,,,,,,,,,,,,,,,,m,,×,
808,,,ins-knæler/vinge,,,,,,,,,,,,,,,"H. Madsen, S. Andersen",,44,,×,
809,,,fisk-neocl/Kranium/rygs.+hale,,,,,,,,,,,,,,,,,m,,×,
810,,,bot.bambus?/del af rod m. busket top.,,,,,,,,,,,,,,,,,m,,×,
811,,,invert.-snegle-muslinger/hele fragm.,,,,,,,,,,,,,,,Bonde,,m,,×,
812,,,invert.-snegle-marine planter/aftryk ,,,,,,,,,,,,,,,,,m-stue,,×,
813,,,bot.stængel m. rest af blad,,,,,,,,,,,,,,,,,m,,×,
814,,,bot.insekter/rester,,,,,,,,,,,,,,,,,m,,×,
815,,,bot.frø el kerne/hel,,,,,,,,,,,,,,,,,26,,×,
816,,,ins.-flue/hel,,,,,,,,,,,,,,,G.L. emnekort. Udlånt til S.A. 2003,,,,÷,
817,,,ins-flue/hel,,,,,,,,,,,,,,,G.L. emnekort. Udlånt til S.A. 2003,,,,÷,
818,,,ins-løvgræshoppe/vinge,,,,,,,,,,,,,,,G.L.,,m,,×,
819,,,ins-cikader/vinger,,,,,,,,,,,,,,,G.L.,,m,,×,
820,,,ins-bladlus?/hover+ben+vinger,,,,,,,,,,,,,,,,,m,,×,
821,,,ins-tæge+snyltehveps/krop+vinger,,,,,,,,,,,,,,,G.L.,,m,,×,
822,,,ins-cikade/vinge,,,,,,,,,,,,,,,G.L,,61,,×,
823,,,ins-cikade/krop+vinger,,,,,,,,,,,,,,,G.L,,m,,×,
824,,,ins-stankelben/vinge,,,,,,,,,,,,,,,G.L,,m,,×,
825,,,fisk-neocl./2 kranier+del af rygs.,,,,,,,,,,,,,,,fra 2 forskellige fund,,m,,×,
826,,,fisk-ubest./ 5 ryghvirvler,,,,,,,,,,,,,,,,,m,,×,
827,,,bot.ubest/fragm af stængel,,,,,,,,,,,,,,,,,m,,×,
828,,,bot+træ-ubest./rester,,,,,,,,,,,,,,,,,m-stue,,×,
829,,,bot+træ-ubest./rester,,,,,,,,,,,,,,,,,m,,×,
830,,,ins-ubest./krop+vinger,,,,,,,,,,,,,,,,Udlånt til Dr. Julian Petrulevicius,m,,×,
831,,,ins-ubest./diverse aftryk,,,,,,,,,,,,,,,,,m,,×,
832,,,ins-ubest./vinge,,,,,,,,,,,,,,,"udlånt 1987, Berlin- ikke returneret. Enmek.",,,,÷,
833,,,ins-ubest./dårlige rester,,,,,,,,,,,,,,,,,m,,×,
834,,,ins-ubest./fragm. Af krop+hoved+vinger,,,,,,,,,,,,,,,,,m,,×,
835,,,ins-ubest/rester,,,,,,,,,,,,,,,,,m,,×,
836,,,ins-bille/bagvinge,,,,,,,,,,,,,,,H. Madsen.,,m,,×,
837,,,ins-ubest./ 2 vinger,,,,,,,,,,,,,,,,,m,,×,
838,,,ins-ubest./fragm.,,,,,,,,,,,,,,,,,m+12,,×,
839,,,bot.ubest./forvitrede rester,,,,,,,,,,,,,,,,,m,,×,
840,,,ins-flue/krop+vinger,,,,,,,,,,,,,,,emnekort. Udlånt til S.A. 2003,,,,÷,
841,,,ins-ubest/hele+fragm,,,,,,,,,,,,,,,,,m,,×,
842,,,inv.-muslinger/hel+fragm.,,,,,,,,,,,,,,,,,m,,×,
843,,,padder-lille/kropsskellet+del af ben.,,,,,,,,,,,,,,,dobbeltnummerering-se emnek.,,25 B+ 21,,×,
844,,,fisk-neocl/hel,,,,,,,,,,,,,,,,,m,,×,
845,,,bot.ubest./frø m. skal.,,,,,,,,,,,,,,,,,m,,×,
846,,,bot.macclintockia/blad,,,,,,,,,,,,,,,Fjeldsø,,30B,,×,
847,,,fisk-makrel/haleparti,,,,,,,,,,,,,,,Bonde,,m,,×,
848,,,fisk-Rhinocephalus?/rester,,,,,,,,,,,,,,,Bonde,,m,,×,
849,,,fisk-makrel/knogler,,,,,,,,,,,,,,,,,m,,×,
850,,,fisk-tun-makrel/knogler,,,,,,,,,,,,,,,Fjeldsø   i 2 poser,,m,,×,
851,,,fisk-makrel/fint aftryk,,,,,,,,,,,,,,,Bonde,,m,,×,
852,,,ins-myg/krop m. vinger,,,,,,,,,,,,,,,,,m,,×,
853,,,ins-flue/krop m. vinger,,,,,,,,,,,,,,,,,51 B,,×,
854,,,ins-tæge/krop + løs vinge,,,,,,,,,,,,,,,emnekort,,mgl. v. rev 04.,,÷,
855,,,ins-græshoppe,,,,,,,,,,,,,,,Mp. Udlånt til skoleuds. På Mors,,m,,×,
856,,,fugl-ubest./fint kranium,,,,,,,,,,,,,,,,,m+24,,×,
857,,,fugl-ubest./ben,,,,,,,,,,,,,,,Ella Hoch. VARV nr. 1-1972,,24,,×,
858,,,padde-skildpadde/kranium,,,,,,,,,,,,,,,Har fået nr. 1450 men skal tilbageføres til gl. nr,,VAK,,×,
859,,,padde-skildpadde/hele knogler+skelletdele,,,,,,,,,,,,,,,Har fået nr. 1450 men skal tilbageføres til gl. nr,,VAK,,×,
860,,,fisk-polymixiid/fint aftryk,,,,,,,,,,,,,,,Bonde. FMP 5,,52A,,×,
861,,,fisk-tun/hel uden hale,,,,,,,,,,,,,,,,,5,,×,
862,,,fisk-ubest./kran.+ forreste halvdel,,,,,,,,,,,,,,,Bonde. emnekort,,mgl.v. rev 04.,,÷,
863,,,fisk-makrel/hel uden snude.,,,,,,,,,,,,,,,Bonde,,15,,×,
864,,,fisk-kulmule/kranium,,,,,,,,,,,,,,,Bonde. Har fået nyt nr. 1638. Gl. nr. 864,,11,,×,
865,,,fisk-smelt/hel m. stort øje,,,,,,,,,,,,,,,,,m,,×,
866,,,bambus/sløret fragm.,,,,,,,,,,,,,,,emnekort.,,mgl. v. rev 04.,,÷,
867,,,bot.løvblad/fin halvdel,,,,,,,,,,,,,,,,,30,,×,
868,,,bot.græsblad/trevler rest,,,,,,,,,,,,,,,,,31,,×,
869,,,bot.bambus/del af rødder,,,,,,,,,,,,,,,,,fandtes v. rev 04.,,÷,
870,,,fisk-hajtænder/tand+yderste spids,,,,,,,,,,,,,,,D. Ward 2008,,m,,×,
871,,,inv.-musling/fragm. Af åben hel musl.,,,,,,,,,,,,,,,Bonde,,m,,×,
872,,,bot.bambus/del af blad,,,,,,,,,,,,,,,,,31,,×,
873,,,fisk-kulmule/krop uden hoved og hale,,,,,,,,,,,,,,,Bonde. FMP 18 Dob-nr FUM-N-1637,,11,,×,
874,,,fisk-rødfisk/hel aftryk,,,,,,,,,,,,,,,Bonde,,mgl. v. rev 04.,,÷,
875,,,fisk-neocl./hel unge,,,,,,,,,,,,,,,Bonde,,m,,×,
876,,,fisk-smelt/kran.+krop uden hale,,,,,,,,,,,,,,,,,13,,×,
877,,-modplade,Fisk,,Trompetfisk,Aulostomoid,,,"Beslægtet med nutidens knivfisk, der hører til nålefinnerne. Delvis hel fisk, mangler flere detaljer. (Beskrevet af N. Bonde FM. 25.) Kommer fra M. Breiners ""D"" horisont",,Magne Breiner,84mm*10mm,,Cementsten,Under middel,,,Bonde,,m,,×,
878,,,,,,,,,,,,,,,,,,ingen emnekort.,,mgl. v. rev 04.,,÷,
879,,,fisk-strømsild/hel,,,,,,,,,,,,,,,Bonde,,14,,×,
880,,,fisk-aborre/næsten hel,,,,,,,,,,,,,,,Bonde. FMP 11 Dob-nr FUM-N-1682,,12,,×,
881,,,fisk-aborre/hel,,,,,,,,,,,,,,,Bonde. FMP 10,,12,,×,
882,,,padde-ubestm/fragm af kropsskellet,,,,,,,,,,,,,,,,,24,,×,
883,,,fugl-ubest./fragm. Af brystben,,,,,,,,,,,,,,,,,25 A,,×,
884,,,bot.kerner/ 5 stk. hele,,,,,,,,,,,,,,,3 emnekort AB og C.,,m-stue,,×,
885,,,bot.kerne/hel,,,,,,,,,,,,,,,,,26,,×,
886,,,"fisk-laks/krop uden hoved,hale",,,,,,,,,,,,,,,,,m,,×,
887,,,fisk-hajtand/hel  Carcharias Sp.,,,,,,,,,,,,,,,D. Ward 2008,,m,,×,
888,,,fisk-ubest/begerste del,,,,,,,,,,,,,,,Kristen Jensens saml.,,mgl. v. rev 04.,,÷,
889,,,ravstykker med insekter,,,,,,,,,,,,,,,ravsaml. Har fået hver sit nummer.,,udgår,,×,
890,,,bot.træ/gren el kvist/rester,,,,,,,,,,,,,,,emnekort,,mgl. v. rev 04.,,÷,
891,,,bot.træ/brudstykke,,,,,,,,,,,,,,,emnekort,,27,,×,
892,,,bot.træ/m. intakte åreringe,,,,,,,,,,,,,,,Dob-nr FUM-N-1423,,27,,×,
893,,,bot.træ/brudstykke,,,,,,,,,,,,,,,Dob-nr FUM-N-1425,,27,,×,
894,,,bot.træ/brudstykke,,,,,,,,,,,,,,,Dob-nr FUM-N-1422,,22,,×,
895,,,bot.træ/del af træstamme,,,,,,,,,,,,,,,,,gulv uds,,×,
896,,,bot.træ/stykke,,,,,,,,,,,,,,,,,gulv uds,,×,
897,,,inv-krabber/hel,,,,,,,,,,,,,,,Dob-nr FUM-N-1486. Består af 3 konkretioner. ,,53B,,×,
898,,,kalkkonkretion/m. løs kugle,,,,,,,,,,,,,,,Kr. Jensens saml.,,???? ??,,×,
899,,,kalkkonkretion/m. løs kugle,,,,,,,,,,,,,,,,,mgl. v. rev 04.,,÷,
900,,,konkretion/skiveformet,,,,,,,,,,,,,,,fra oligocæne lag i USA,,mgl. v. rev 04.,,÷,
901,,,konkretion/m. stor snegl/hel,,,,,,,,,,,,,,,,,mgl. v. rev 04.,,÷,
902,,,ins-stankelben?/vinger+hoved+ben/sløret,,,,,,,,,,,,,,,obs gl. og nye numre - tilrette emnekort,,mgl. v. rev 04.,,÷,
903,,,mikrofossiler-diatomeer/store,,,,,,,,,,,,,,,obs gl. og nye numre. Tilrette emnekort,,m,,×,
904,,,fisk-knogletungeskæl m/ gipskrystaller,,,,,,,,,,,,,,,N. Bonde 2009,,m + 59,,×,
905,,,ins-ubest/rester,,,,,,,,,,,,,,,obs gl og nye numre. Tilrette emnekort,,m,,×,
906,,,,,,,,,,,,,,,,,,fra 906 - 991 er kortene blanke,,,,,
992,,,konkretion-plade fra/træstykker.,,,,,,,,,,,,,,,,,væg v/ 42,,×,
993,,,konkretion/muslinger+hajtænder,,,,,,,,,,,,,,,,,mgl. V.sidste rev,,÷,
994,,,konkretion-plade/muslinger,,,,,,,,,,,,,,,Se udstilling. ,,mgl. V.sidste rev,,÷,
995,,,konk.-trekantet pl/muslinger,,,,,,,,,,,,,,,,,gulv v/ 42,,×,
996,,,"inv.-sø,slangestjerner/aftryk",,,,,,,,,,,,,,,Bonde,Er i KBH med Bonde !!! 2010,Er i KBH,,×,
997,,,bot.macclintockia kanei,,,,,,,,,,,,,,,Dob-nr FUM-N-1432,,m,,×,
998,,,bot.macclintockia kanei,,,,,,,,,,,,,,,,,mgl. V.sidste rev,,÷,
999,,,bot.macclintockia kanei,,,,,,,,,,,,,,,,,mgl. V.sidste rev,,÷,
1000,,,bot.macclintockia kanei,,,,,,,,,,,,,,,,,mgl. V.sidste rev,,÷,
1001,,,inv.-søstjerne/dårligt aftryk,,,,,,,,,,,,,,,,,m,,×,
1002,,,fisk-torskefisk/knoglerester,,,,,,,,,,,,,,,Bonde,,m,,×,
1003,,,fisk-torskefisk/tænder,,,,,,,,,,,,,,,,,m,,×,
1004,,,fisk-torskefisk/aftryk,,,,,,,,,,,,,,,Bonde 08,,41,,×,
1005,,,fisk-makrellign/brystfinne+bughule+fragm af rygr.,,,,,,,,,,,,,,,Bonde,,m,,×,
1006,,,fisk-holosteus?/kæbe m. tænder,,,,,,,,,,,,,,,Bonde,,9,,×,
1007,,,fisk-glansfisk?/brystfinne+skæl,,,,,,,,,,,,,,,Bonde,,m,,×,
1008,,,inv.-snegl,,,,,,,,,,,,,,,,,m,,×,
1009,,,fisk-benfisk??/rostrum(snudeforlængelse),,,,,,,,,,,,,,,Bonde,,m,,×,
1010,,,inv.-musling/afstøbning,,,,,,,,,,,,,,,,,30A,,×,
1011,,,inv.-snegl/afstøbning,,,,,,,,,,,,,,,,,21,,×,
1012,,,ins-ins-cikade/vinge,,,,,,,,,,,,,,,Bonde,,m,,×,
1013,,,fisk-ubest./kæbe,,,,,,,,,,,,,,,Bonde,,m,,×,
1014,,,bot.bambus/blad,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1015,,,bot.bambus/blad?,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1016,,,bot.ubest./rester,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1017,,,ins-sommerfugl/vinge,,,,,,,,,,,,,,,,,m,,×,
1018,,,"bot.bregne+""bambus""/fragm+fragm af blade",,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1019,,,inv.-søstjerne/2 arme,,,,,,,,,,,,,,,,,m,,×,
1020,,,ins.- Tæge/uden hoved,,,,,,,,,,,,,,,,,m,,×,
1021,,,"bot.""bambus""/blad",,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1022,,,"bot.""bambus""/blad",,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1023,,,"bot.""bambusskud""/blade",,,,,,,,,,,,,,,Fjeldsø - værd at undersøge nærmere,,m,,×,
1024,,,fisk-neocl/fragm,,,,,,,,,,,,,,,,,m,,×,
1025,,,fisk-neocl/fragm7/sammnrkl. Dorsoventralt,,,,,,,,,,,,,,,,,m,,×,
1026,,,fisk/tænder/fiskerester,,,,,,,,,,,,,,,,,m,,×,
1027,,,fisk-kulmule/overkæbe,,,,,,,,,,,,,,,Bonde,,m,,×,
1028,,,"fisk-""havaborre""/hale",,,,,,,,,,,,,,,Bonde 86,,m,,×,
1029,,,"bot.""bambus""/del af stængel",,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1030,,,mineraler/stribet cementsten/skiveskåret,,,,,,,,,,,,,,,,,50B,,×,
1031,,,fisk-neocl./hel m. dækket hale,,,,,,,,,,,,,,,,,m,,×,
1032,,,bot.løv/fragm. Af blad,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1033,,,"bot.2bambus""/bladfragmenter",,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1034,,,ins.-tæge/hel m. delvist udbredte vinger,,,,,,,,,,,,,,,,,m,,×,
1035,,,"bot.""bambus""/frugt??",,,,,,,,,,,,,,,,,m,,×,
1036,,,bot.bregne/pinna eller frugt,,,,,,,,,,,,,,,,,m,,×,
1037,,,fugl-ubekendt/knogle,,,,,,,,,,,,,,,,,m,,×,
1038,,,fisk-ubest./rygr.,,,,,,,,,,,,,,,,,m,,×,
1039,,,fisk-glansf./kæber+kam på kranietaget,,,,,,,,,,,,,,,Bonde,,7,,×,
1040,,,fisk-ubest/2/3 af kroppen bevaret,,,,,,,,,,,,,,,,,m,,×,
1041,,,bot.bambus/rester+fiskerester,,,,,,,,,,,,,,,2 poser i magasin-skuffe,,m,,×,
1042,,,inv.-langhalse/kalkskaller,,,,,,,,,,,,,,,,,21,,×,
1043,,,bot.pil??/stilk+basis,,,,,,,,,,,,,,,Købt i Steens butik,,30,,×,
1044,,,fisk/hajtand Carcharias Sp.,,,,,,,,,,,,,1,,D. Ward 2008,,18,,×,
1045,,,mineraler/blå cementstenm. Lamineret toplag,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1046,,,fisk-ubestemt/kæbe m. tænder,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1047,,,inv.-musling/kæmpemusling,,,,,,,,,,,,,,,,,m,,×,
1048,,,fisk-holosteus??/mærkelige tænder,,,,,,,,,,,,,,,Bonde,,9,,×,
1049,,,fisk-polymixiide/finner+fragm af hjernek.,,,,,,,,,,,,,,,Fjeldsø,,12,,×,
1050,,,bot.træ/forkalket,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1051,,,bot.træ/forkislet,,,,,,,,,,,,,,,Fjeldsø,,28,,×,
1052,,,Svamp/stor,,,,,,,,,,,,,,,Fjeldsø. ,,m,,×,
1053,,,fisk-neocl/fragm. Horisontal,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1054,,,padde-skildpadde/afstøbning,,,,,,,,,,,,,,,Sendt af Dr. Moody - lok Barton beds Hampshire,,m,,×,
1055,,,fugl-ubest/ben,,,,,,,,,,,,,,,Ella Hock,,24,,×,
1056,,,bot.bambus/fragm.,,,,,,,,,,,,,,,Fjeldsø  ,,m-stue,,×,
1057,,,bot.ubek./frugt el. nød,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1058,,,fisk-makrel/brystfinne,,,,,,,,,,,,,,,Bonde,,10,,×,
1059,,,inv.-blåmusling/fin,,,,,,,,,,,,,,,Kaj Strand,,22,,×,
1060,,,fisk-makrel/fisk u. hoved og hale+maveindhold,,,,,,,,,,,,,,,Bonde 08,,m,,×,
1061,,,fisk-knivfisk/hoved,,,,,,,,,,,,,,,,,m,,×,
1062,,,mineraler-kalkkrystaller/brunt calcit,,,,,,,,,,,,,,,,,m-stue,,×,
1063,,,bot.ubest./nød,,,,,,,,,,,,,,,Fjeldsø.,,m,,×,
1064,,,ins.-tæge/vinge,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1065,,,inv-musling/2 stk,,,,,,,,,,,,,,,Fjeldsø,,22,,×,
1066,,,fugl-ubest./fod,,,,,,,,,,,,,,,E.Hock,,24,,×,
1067,,,fisk-neocl./lille/pæn,,,,,,,,,,,,,,,,,m,,×,
1068,,,fisk-smelt/uden hoved.,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1069,,,fisk/hajtand,,,,,,,,,,,,,,,,,????,,×,
1070,,,fugl-ubest./ben,,,,,,,,,,,,,,,,,61,,×,
1071,,,ins-ørentvist,,,,,,,,,,,,,,,obs !!,,55 B,,×,
1072,,,fisk-neocl./tæt belagt,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1073,,,bot.ubekendt/rest,,,,,,,,,,,,,,,Fjeldsø,,m,,×,
1074,,,fisk-smelt/hjernekasse,,,,,,,,,,,,,,,Bonde,,m,,×,
1075,,,fisk-ubestemt/kæbe,,,,,,,,,,,,,,,,,m,,×,
1076,,,fisk-holosteus/rygrad,,,,,,,,,,,,,,,Bonde,,m,,×,
1077,,,fisk-makrel/rygrad,,,,,,,,,,,,,,,Bonde,,m,,×,
1078,,,ins-tæger/ 3 stk.,,,,,,,,,,,,,,,,,m,,×,
1079,,,fisk-neocl/ 4 stk,,,,,,,,,,,,,,,,,m,,×,
1080,,,ins-flue/hel,,,,,,,,,,,,,,,,,m,,×,
1081,,,fisk-neocl/stort eks. Uden hale.,,,,,,,,,,,,,,,Bonde,,m,,×,
1082,,,inv.-snegle/ 5 stk,,,,,,,,,,,,,,,,,m,,×,
1083,,,ins-ins-cikade/løs vinge,,,,,,,,,,,,,,,,,m,,×,
1084,,,fiks-neocl./hel,,,,,,,,,,,,,,,,,m + 14,,×,
1085,,,bot.løv/gren m sidegren,,,,,,,,,,,,,,,,,m,,×,
1086,,,ins-flue/hel,,,,,,,,,,,,,,,Udlånt til S.A. 2003,,,,÷,
1087,,,ins-ins-græshoppe/vinge,,,,,,,,,,,,,,,,,m,,×,
1088,,,ins-stankelben/vinge+ben + thorax,,,,,,,,,,,,,,,,,m,,×,
1089,,,bot.ubest/hulrum efter frugt,,,,,,,,,,,,,,,Bonde,,m,,×,
1090,,,fisk-sild/sildeskæl,,,,,,,,,,,,,,,Bonde,,13,,×,
1091,,,inv -snegle/lagflade dækket med dem,,,,,,,,,,,,,,,A.W. Jannson,,19,,×,
1092,,,ins-ørentvist,,,,,,,,,,,,,,,,,m,,×,
1093,,,ins-ørentvist+ ins-græshoppe+ 2 tæger,,,,,,,,,,,,,,,,,m-stue,,×,
1094,,,ins-vårflue,,,,,,,,,,,,,,,,,m,,×,
1095,,,ins-bladlus/hoved+bagkrop+2 vinger,,,,,,,,,,,,,,,,,47B,,×,
1096,,,ins-ubest/ 2 ens næsten hele,,,,,,,,,,,,,,,,,m,,×,
1097,,,fisk-makrel/9 stk.uden hoved,,,,,,,,,,,,,,,,,m,,×,
1098,,,fisk-hajtand-Striata?/dårligt aftryk,,,,,,,,,,,,,,,D. Ward 2008,,m,,×,
1099,,,"fisk-neocl./fin ""uldfarvet""",,,,,,,,,,,,,,,,,14,,×,
1100,,,ins-flue/krop m. utydelige vinger,,,,,,,,,,,,,,,G.L,,m,,×,
1101,,,fisk-neocl./hoved+ forreste halvdel af krop,,,,,,,,,,,,,,,,,m,,×,
1102,,,fisk-laksefisk/hoved+brystregion uden snude,,,,,,,,,,,,,,,Bonde,,m,,×,
1103,,,fisk-smørfisk/meget fint juvenilt afftryk,,,,,,,,,,,,,,,bonde,,15,,×,
1104,,,fisk-aborrelign/hel,,,,,,,,,,,,,,,Bonde,,m,,×,
1105,,,fisk-smelt/kæbe m. tænder+skæl,,,,,,,,,,,,,,,bonde,,m,,×,
1106,,,insekt-løvbille/aftryk,,Guldsmed,Odonata,,Dysagrioninae gen. indet. jutlandica ,flot vinge,,,,,,,,,,,m,,×,
1107,,,bot.frugt,,,,,,,,,,,,,,,,,26,,×,
1108,,,fisk-sild/fiskehoved,,,,,,,,,,,,,,,Bonde,,m,,×,
1109,,,fisk-neocl/hel,,,,,,,,,,,,,,,,,14,,×,
1110,,,fisk-neocl-/uden hale,,,,,,,,,,,,,,,Fra blok 1109. Reg. under samme nummer??,,m,,×,
1111,,,fisk-polymixiide/knogler+skæl,,,,,,,,,,,,,,,Mp. Findes på Thyborøn skole,,12,,×,
1112,,,inv.-kammusling/aftryk af den ene skal,,,,,,,,,,,,,,,,,m,,×,
1113,,,bot.ved/med rav,,,,,,,,,,,,,,,,,27,,×,
